,app_id,title,location,location_2d
10,32750,Comanche 4,"[-0.01881757 -0.10431834  0.05807257  0.27810583 -0.08422318 -0.13581654
 -0.16146454  0.06426848  0.13374315  0.02458091 -0.00491979  0.10903876
 -0.03521184  0.00620889 -0.31312215  0.18614955  0.08962926  0.14670135
  0.09213332  0.02626651  0.11236192 -0.16990696  0.12461074 -0.0143842
  0.02246268  0.07146109  0.02165173 -0.09981593  0.05388851 -0.05512987
  0.03047065 -0.19266981  0.15135303 -0.044929   -0.21285148 -0.06879011
 -0.06451769  0.08772485 -0.04936956  0.21157087  0.09999461 -0.09297516
  0.02243344  0.0470087  -0.06473666 -0.07534332  0.06203336  0.00626572
 -0.03149195  0.13171725  0.01092248 -0.08957704 -0.25638098  0.00808483
 -0.07933512 -0.12038319 -0.14818463 -0.04934996  0.00127906 -0.00744108
 -0.04863067  0.02391672  0.06065163  0.118494  ]",[-24.523985 -53.05691 ]
11,241620,Inquisitor,"[ 0.11217558 -0.03354106  0.04153403  0.18593137  0.03365137  0.04410595
 -0.02924485 -0.00563112  0.10478553  0.09638615  0.17307101  0.09822451
 -0.07861499  0.07208601 -0.06757008 -0.18593356  0.13808633  0.12446678
  0.12302176 -0.02720236  0.0896863  -0.15018687  0.068322   -0.07108232
 -0.16748217  0.07356888  0.05430408 -0.11711535  0.14495802 -0.07769231
  0.12856334  0.01643812  0.03794925 -0.0664095   0.08941235  0.05857876
  0.00979074 -0.0352141   0.10867248 -0.0646253   0.02832737 -0.12421287
 -0.09890809 -0.04624103  0.12241784 -0.07870837  0.11452504  0.14158922
  0.1146189   0.19511487  0.05902081 -0.10687555 -0.1073442  -0.05640906
 -0.10227489  0.02480779  0.07874376  0.03431391 -0.1706148   0.15447083
  0.00149559  0.06704128 -0.13092135  0.00552631]",[ -7.532471 -41.921112]
12,408520,FORM,"[-0.07025117 -0.00239515 -0.06508942  0.069998   -0.02189114  0.03346846
  0.00810971 -0.02022214 -0.06335101 -0.01200727 -0.05646077 -0.11323771
 -0.03045983 -0.08666728  0.03888531  0.17270894  0.05551201 -0.12906633
  0.11059056  0.11981791 -0.02158271  0.16452028 -0.06071894  0.06589755
 -0.19525418  0.07866622 -0.1072152   0.01024741 -0.09592661 -0.12239663
  0.05611288 -0.02707158 -0.07851154  0.10899217 -0.04632442  0.02220054
 -0.05937071 -0.25550127  0.08812245 -0.04739801 -0.07077999 -0.00140764
 -0.12877059 -0.0537208  -0.11562669 -0.02663635 -0.16122569 -0.08534605
  0.08058178 -0.01669602  0.07462329  0.13114704  0.06097947  0.26537347
  0.06028999  0.08696789  0.10815189  0.11915801 -0.09829538  0.03687803
 -0.01900996  0.22798513  0.11530288 -0.13222744]",[-20.270723   -7.0186915]
13,244910,Homesick,"[ 0.02673046 -0.00959919  0.19464588 -0.00057342 -0.02090089 -0.04355725
  0.009187   -0.08277973 -0.03206066  0.12634     0.03743163  0.00372152
  0.00272283  0.1310488  -0.15422933  0.06181524  0.01027313  0.07083945
 -0.00050423  0.01815523  0.02618578  0.00837661 -0.07250965 -0.01110094
 -0.06620389  0.06048169  0.12980507  0.0232386  -0.07123067 -0.03764217
  0.15412381 -0.00530595  0.12908882  0.06811326 -0.14993742 -0.00795525
 -0.07522922 -0.07551526  0.10495169  0.07845178  0.10603522 -0.0741788
 -0.05018669 -0.12403607 -0.13288367  0.06443269  0.03129172 -0.00993219
  0.00898925 -0.13762648  0.06627381  0.0089277  -0.15131328 -0.01366798
  0.04933397  0.08266786 -0.03014908  0.11306946 -0.02859024 -0.04120977
 -0.06413631  0.02086181 -0.07307435  0.23337454]",[23.056593  9.737751]
14,250460,Bridge Constructor,"[ 0.11153422  0.02770867  0.04188831  0.11633623  0.11999822  0.09177135
 -0.05705402 -0.08698696  0.0116649   0.02425699  0.0103458   0.10319669
 -0.05076878  0.01105225 -0.00332219 -0.08847824  0.06253085 -0.04093732
  0.13051212  0.01844472 -0.04178455 -0.06870811  0.04825301  0.00056574
 -0.21384558  0.06956747  0.03695441 -0.08060853  0.03305082 -0.08602493
  0.09727727  0.00823145 -0.01934654 -0.01589687 -0.00944471 -0.05510679
 -0.01245702 -0.10802405  0.09222192 -0.12649862 -0.016432   -0.0625625
 -0.09447189 -0.0456527   0.03137808 -0.07996494  0.02823098  0.05538227
  0.07018203 -0.01881973 -0.02606261 -0.05106462 -0.11965916  0.01206673
 -0.08497459  0.05533471  0.06941611  0.07804558 -0.09581952  0.0812088
  0.10366275  0.05752428  0.01068492 -0.05812422]",[-18.123558 -16.111877]
15,278890,Angvik,"[ 1.537013   -1.2708521  -0.45439464  0.82570064  1.1302054   1.7103851
 -0.6490968   0.47595185 -1.396375   -0.11524125  1.8248675   1.5665201
 -1.3192692  -0.14551842  1.9387115   0.30289766  2.3878925  -0.71078396
  0.06279591 -1.0111192   1.4977734   0.32431662 -0.6494983  -0.8051053
 -0.7203677  -0.3915777   1.0479572   0.27614695  0.62008065  0.88501847
  0.26831508  0.26406026  0.4895757  -1.5213834  -0.5485275  -1.8719319
  0.38281232 -1.1173959   0.02471347 -1.3332565  -0.75197375 -0.22279562
 -1.7976487  -0.650276    0.18726535 -2.159362   -1.4545957  -0.7516324
 -0.59286714 -0.42100856 -0.27016377  0.01822437  0.5049188  -0.23716082
 -0.02417247  0.83521044  0.68317646 -0.9977239  -2.0295062  -0.5822518
 -1.0865413   0.06842212  0.90724236  2.787601  ]",[-11.113588 -15.987686]
16,312200,Chasm,"[ 0.09697907 -0.09863081 -0.05446126  0.17602691  0.01896108  0.08814365
 -0.02363558 -0.00856904  0.10071541  0.07019251  0.08639031  0.15177545
 -0.05924846 -0.0355165  -0.00664843 -0.17881045  0.11545845  0.08101445
  0.1414988  -0.04489734  0.04891216 -0.15593554  0.06893471 -0.04961363
 -0.13135555  0.11909118  0.05207722 -0.16558208  0.13266166 -0.08919535
  0.14837663  0.01432564 -0.00246731 -0.00705519  0.13301283  0.0465502
  0.03096608 -0.03984863  0.09035799 -0.07906631  0.00779037 -0.10217085
 -0.09139472 -0.00416716  0.09514564 -0.06532267  0.09634427  0.07611637
  0.15070562  0.15140013  0.00429846 -0.09517204 -0.0644213   0.00227557
 -0.05867923  0.06182976  0.01391794  0.06027516 -0.13816105  0.1155655
  0.04394216 -0.00601009 -0.10776406 -0.01828847]",[ -4.3148513 -41.53732  ]
17,321290,Dandelion - Wishes brought to you -,"[-0.03098493 -0.03599603  0.08527468  0.15732387  0.17948343 -0.14000928
 -0.09923474  0.0208508   0.16479002 -0.08907947  0.18056619  0.14699048
  0.08227967 -0.02492579 -0.04987475  0.05028958  0.11756106  0.00159799
  0.01174401  0.07002027  0.06708454 -0.04655416  0.0444327   0.13087264
 -0.11267098  0.16236085  0.08462591 -0.00171509  0.01639243 -0.15847433
  0.04262272  0.02837212  0.16470814  0.13688259 -0.0208092  -0.00856537
  0.06995404  0.20250703 -0.03919762  0.08790293  0.06251334 -0.06156232
  0.05202816 -0.0986195   0.07132931  0.09378437  0.09694751 -0.07181904
  0.1176251   0.0271449   0.1465604   0.13360676 -0.06927823 -0.0183432
 -0.20282193  0.0637699   0.10863297 -0.0881528   0.10252225  0.14342424
  0.2685346  -0.15958323  0.01784606  0.03537822]",[-36.55796  -16.110498]
18,367670,Controller Companion,"[ 0.09790641 -0.13861457 -0.03171468  0.17645521 -0.02715353  0.08083914
 -0.02378705  0.03583752  0.12322084  0.07870182  0.10033333  0.1285848
 -0.0545021  -0.03290164 -0.00924755 -0.19466491  0.13159785  0.12353036
  0.10774446 -0.08099684  0.07691494 -0.14168303  0.02884924 -0.08000671
 -0.08881224  0.09457251  0.06352493 -0.13564004  0.12867996 -0.10874501
  0.10849965  0.00488169  0.03799758  0.03761566  0.12529679  0.03609324
  0.01859777 -0.03431379  0.07512209 -0.03287952  0.05128794 -0.15689428
 -0.08384217 -0.05645739  0.07859143 -0.0157832   0.10950386  0.10697358
  0.16450539  0.15756519  0.01073767 -0.06136161 -0.00849575  0.0178906
 -0.0504697   0.04500972  0.00652158  0.07115006 -0.13869551  0.13225104
  0.04126424 -0.01315434 -0.14471994  0.0300271 ]",[ -4.26579  -41.515827]
19,437000,GUILTY GEAR 2 -OVERTURE-,"[ 1.47857713e-02 -2.94798948e-02 -5.47417998e-02  1.49260396e-02
  2.70474348e-02  1.61361713e-02  9.37795565e-02 -1.45804778e-01
 -1.38429031e-01  6.77377060e-02 -7.62578622e-02  9.54414904e-02
 -5.94461225e-02 -7.00167939e-03  6.70791864e-02 -6.10714182e-02
  1.07847624e-01 -3.97300273e-02  1.15909778e-01  4.71457420e-03
 -3.42009850e-02 -7.61525705e-02  8.68107192e-03 -2.49199532e-02
 -7.78071657e-02  1.13175519e-01  3.05422936e-02  3.00600845e-02
  3.01898085e-03 -1.39459260e-02  3.10083274e-02  2.20136140e-02
  1.93080832e-05 -6.88595995e-02  6.55106306e-02 -9.69773799e-04
 -1.71134956e-02 -2.83397790e-02  5.02556153e-02 -1.63047150e-01
 -1.19431391e-01  4.76723677e-03 -6.33159205e-02 -2.90267374e-02
  4.40207543e-03 -7.35019520e-02  1.25323760e-03 -4.47290093e-02
  3.79710235e-02  8.20295587e-02 -3.92245576e-02 -7.81741068e-02
 -5.30859679e-02  1.53567512e-02 -5.69098704e-02  5.95304593e-02
  1.33552164e-01  4.73243780e-02  1.62303466e-02  1.83534510e-02
  3.62294689e-02  1.17479146e-01  3.18065062e-02 -1.36975795e-01]",[-11.569802  -5.648545]
